Frequency (Hz),Measured accelerations under no-load (m/s2),Measured accelerations under on-load (m/s2)
591,0.037314954,0.006040435
592,0.036912435,0.008262695
593,0.024888815,0.010580812
594,0.023970664,0.014312638
595,0.029012491,0.011878096
596,0.034500811,0.007570452
597,0.079768048,0.023260532
598,0.181903908,0.046419638
599,0.239930858,0.057005023
600,0.236681478,0.062450575
601,0.219300222,0.059737157
602,0.13283182,0.040357625
603,0.042280762,0.02316931
604,0.051552409,0.01637531
605,0.059701423,0.011333311
606,0.063928735,4.21E-04
607,0.066291659,0.011010745
608,0.055485102,0.018967271
609,0.042418281,0.025106193
610,0.033510339,0.028860453
611,0.026206396,0.0257786
612,0.027237581,0.017347894
613,0.033870355,0.013248848
614,0.034144506,0.011944526
615,0.02864866,0.012941488
616,0.02608695,0.010481045
617,0.022132447,0.005814538
618,0.024477268,0.003542437
619,0.031555755,0.006117362
620,0.027425767,0.007758808
621,0.013805401,0.013416315
622,0.019846763,0.051328749
623,0.036863245,0.152991276
624,0.040869939,0.242876042
625,0.036122121,0.258502015
626,0.033406463,0.253104029
627,0.032693528,0.18658112
628,0.036330032,0.077810902
629,0.050720675,0.026215049
630,0.056108173,0.020059935
631,0.052059697,0.01926756
632,0.048924853,0.014491428
633,0.041366205,0.012334074
634,0.029566604,0.011121475
635,0.02934928,0.005783817
636,0.032541906,0.007965159
637,0.018904388,0.009207963
638,0.00295597,0.007987278
639,0.015709811,0.007988845
640,0.03164783,0.014146938
641,0.037049149,0.019863563
642,0.027313843,0.024479114
643,0.018056902,0.02206707
644,0.009457926,0.020349568
645,0.005722183,0.019239534
646,0.01465629,0.018922418
647,0.027669394,0.016569698
648,0.053031739,0.007254787
649,0.075554129,0.017899038
650,0.078325265,0.020186178
651,0.067521655,0.023197988
652,0.04257145,0.01472241
653,0.012447948,0.003906108
654,0.010876619,0.007616721
655,0.007630113,0.012625763
656,0.004924017,0.012275885
657,0.004381782,0.010431097
658,0.004863302,0.004274125
659,0.006892649,0.015081051
660,0.010736967,0.018506017
661,0.0101907,0.014630456
662,0.005139532,0.006865651
663,0.003465183,0.010185769
664,0.009620667,0.014554961
665,0.016565894,0.015559977
666,0.020510645,0.02058614
667,0.014021656,0.022400206
668,0.021341994,0.017407686
669,0.031689261,0.018061377
670,0.030427732,0.02942706
671,0.026705028,0.034977856
672,0.03704307,0.042904857
673,0.049634377,0.054197874
674,0.056789442,0.050227804
675,0.050837157,0.046957174
676,0.035075653,0.051541205
677,0.013907651,0.05439676
678,0.013890246,0.05223148
679,0.022385426,0.050659345
680,0.025267076,0.043432976
681,0.027967601,0.028985899
682,0.028254494,0.022040484
683,0.028671565,0.016967168
684,0.023918665,0.013326181
685,0.017668562,0.013031529
686,0.015686244,0.009839739
687,0.01908822,0.012547588
688,0.030161567,0.023428862
689,0.039948942,0.030111627
690,0.04642423,0.030191951
691,0.04557267,0.0253987
692,0.042360951,0.018114504
693,0.046311168,0.014902324
694,0.049095876,0.008236331
695,0.044910788,0.001209887
696,0.042869743,0.0101116
697,0.035510243,0.020691525
698,0.027863086,0.037109934
699,0.022996281,0.048186776
700,0.015080716,0.039930567
701,0.010047183,0.037855949
702,0.011436937,0.034532609
703,0.024694656,0.026846564
704,0.025482725,0.029841317
705,0.016442137,0.021729055
706,0.009043901,0.010583724
707,0.016819978,0.002529201
708,0.024068287,0.005005216
709,0.026002002,0.005298753
710,0.042596802,0.012086531
711,0.055451473,0.017541593
712,0.062559742,0.016887175
713,0.073304746,0.021106598
714,0.079727101,0.013182862
715,0.068112337,0.007894885
716,0.032753087,0.012376402
717,0.033004314,0.019276567
718,0.041578422,0.014571806
719,0.054781201,0.011113962
720,0.07155111,0.011847775
721,0.067566709,0.00845613
722,0.057572107,0.014442831
723,0.057867794,0.07764525
724,0.072861797,0.127916394
725,0.090405409,0.146095624
726,0.112341841,0.155247037
727,0.091081002,0.116575317
728,0.050121687,0.066521067
729,0.01176983,0.042464706
730,0.022941052,0.025877442
731,0.054240155,0.023679347
732,0.075090626,0.02834106
733,0.081418254,0.032680759
734,0.091858148,0.038733517
735,0.089960342,0.046328317
736,0.084212722,0.043828985
737,0.080841594,0.037161828
738,0.106655868,0.028505898
739,0.128544052,0.024319478
740,0.126401303,0.033461107
741,0.095259078,0.025298261
742,0.032071263,0.013223515
743,0.047566301,0.009232972
744,0.088011209,0.012111732
745,0.123385886,0.016829079
746,0.150817269,0.054352567
747,0.358285547,0.450436691
748,0.915987766,1.431802947
749,1.288682885,2.120000785
750,1.328038424,2.171569245
751,1.302934545,2.087963053
752,0.902302645,1.381910054
753,0.354240185,0.402540345
754,0.122544364,0.025436119
755,0.100353321,0.018346007
756,0.087615853,0.017598031
757,0.047494206,0.006434083
758,0.010354012,0.007783512
759,0.03773183,0.013155331
760,0.0649673,0.015899748
761,0.083988207,0.009704294
762,0.085331253,0.00795148
763,0.054396113,0.016321842
764,0.03187222,0.013323854
765,0.044340512,0.02069498
766,0.045294682,0.030619345
767,0.066236175,0.030904546
768,0.045231355,0.029151652
769,0.02623272,0.04610898
770,0.102531429,0.074673576
771,0.161660326,0.083084356
772,0.219677139,0.058250115
773,0.328176003,0.282689012
774,0.380212155,0.468663886
775,0.366912326,0.513138181
776,0.423465216,0.503322848
777,0.364624823,0.333723778
778,0.227577413,0.100236655
779,0.174554739,0.01638818
780,0.121127693,0.027778643
781,0.100565767,0.030153136
782,0.129259917,0.023556893
783,0.161194512,0.016057005
784,0.172605482,0.017624172
785,0.169305953,0.016864247
786,0.151405382,0.014002823
787,0.11460818,0.014271942
788,0.098275698,0.012441921
789,0.116678911,0.016393948
790,0.144546945,0.023769479
791,0.127348807,0.026441119
792,0.081445483,0.021246949
793,0.080847838,0.013054703
794,0.109302017,0.015366071
795,0.121705363,0.023319108
796,0.107020052,0.031907913
797,0.06743522,0.029246692
798,0.101670258,0.025566575
799,0.125073868,0.041860356
800,0.084477984,0.054284573
801,0.022332523,0.059294562
802,0.049013029,0.050670863
803,0.075177966,0.021397969
804,0.032059921,0.015299257
805,0.037930983,0.023445603
806,0.081280532,0.017726498
807,0.067316259,0.010562618
808,0.035127499,0.004509709
809,0.013999535,4.62E-04
810,0.020861587,0.009422528
811,0.043114605,0.016962367
812,0.05120822,0.018550438
813,0.041642131,0.01642959
814,0.020261364,0.012681473
815,0.020259902,0.025529026
816,0.037858474,0.03032766
817,0.034644008,0.024080665
818,0.025451595,0.026433034
819,0.015452769,0.031301396
820,0.010090153,0.030059585
821,0.034845329,0.031360341
822,0.084293402,0.027650403
823,0.107338203,0.026748261
824,0.103574311,0.041222151
825,0.090256214,0.048692371
826,0.084744782,0.064569036
827,0.095341503,0.075393058
828,0.085950537,0.075077294
829,0.066812886,0.066702595
830,0.042519773,0.052972576
831,0.040185755,0.046164704
832,0.073793612,0.038802929
833,0.094570128,0.033130022
834,0.107655534,0.024490815
835,0.106929409,0.016670126
836,0.085735165,0.006739386
837,0.064777877,0.012654779
838,0.033424783,0.013833312
839,0.011855351,0.019371534
840,0.012659113,0.031620232
841,0.027613644,0.041392125
842,0.048899591,0.041955561
843,0.040660353,0.03922206
844,0.030998546,0.040091794
845,0.04985277,0.037356266
846,0.061733556,0.029632001
847,0.073207079,0.041785413
848,0.123814593,0.055800223
849,0.165327413,0.056378475
850,0.169815963,0.04275204
851,0.168992573,0.021545973
852,0.169605335,0.015905533
853,0.164697043,0.028326739
854,0.169619716,0.031859704
855,0.157678929,0.025048376
856,0.129909058,0.023211409
857,0.105015961,0.024278781
858,0.081732465,0.02744026
859,0.089511029,0.031598327
860,0.093739656,0.029381491
861,0.086807792,0.021446876
862,0.109044471,0.021256269
863,0.121059936,0.021468517
864,0.133131547,0.020399601
865,0.155372346,0.021371901
866,0.166773349,0.019024996
867,0.184977983,0.019794069
868,0.202419525,0.021598903
869,0.206513746,0.018698883
870,0.205607428,0.009119796
871,0.189896522,0.038211439
872,0.162397687,0.113464331
873,0.172800114,0.290923416
874,0.211934607,0.393763132
875,0.250144293,0.37170705
876,0.285959073,0.350644428
877,0.283455612,0.23618821
878,0.272624009,0.081259078
879,0.244247419,0.049913649
880,0.18921833,0.045558129
881,0.131478702,0.026985098
882,0.126578352,0.003604766
883,0.165037339,0.012809007
884,0.15090431,0.012053091
885,0.103377436,0.008916119
886,0.08252701,0.01560104
887,0.061013154,0.018964499
888,0.094184142,0.028450318
889,0.184824883,0.044359471
890,0.231026765,0.060895104
891,0.221453073,0.06951673
892,0.161974074,0.064674587
893,0.091717102,0.059847185
894,0.103010601,0.050720606
895,0.153003357,0.027590664
896,0.145317244,0.069822443
